N,Original MergeSort Runtime,Modified MergeSort Runtime
1000,0.0045999999999999375,0.0033227000000000118
2000,0.011287700000000456,0.00939450000000086
3000,0.018394400000000033,0.017346399999999207
5000,0.04583039999999983,0.0429624000000004
10000,0.18062289999999948,0.1352833000000011
20000,0.6213093999999995,0.5375078999999996
50000,4.112368800000002,3.416356699999998
75000,9.779045,8.4509276
100000,18.3903965,15.460324600000007
250000,131.2748633,130.2114406
500000,644.6944511,494.71734889999993
1000000,2810.8131515,2406.3458315999997
